"","x"
"1113","FBgn0042083"
"1114","FBgn0033100"
"1115","FBgn0085421"
"1116","FBgn0000473"
"1117","FBgn0014028"
"1118","FBgn0022224"
"1119","FBgn0033107"
"1120","FBgn0033109"
"1121","FBgn0033110"
"1122","FBgn0050158"
"1123","FBgn0053558"
"1124","FBgn0033121"
"1125","FBgn0050157"
"1126","FBgn0050156"
"1127","FBgn0027558"
"1128","FBgn0015038"
"1129","FBgn0015039"
"1130","FBgn0033154"
"1131","FBgn0033155"
"1132","FBgn0260991"
"1133","FBgn0033166"
"1134","FBgn0003460"
"1135","FBgn0033169"
"1136","FBgn0040513"
"1137","FBgn0050502"
"1138","FBgn0025885"
"1139","FBgn0033177"
"1140","FBgn0033179"
"1141","FBgn0010548"
"1142","FBgn0259745"
"1143","FBgn0033183"
"1144","FBgn0015929"
"1145","FBgn0261397"
"1146","FBgn0033184"
"1147","FBgn0033187"
"1148","FBgn0022772"
"1149","FBgn0033188"
"1150","FBgn0033189"
"1151","FBgn0033190"
